pc_idx,level,iteration,residuals
0,0,0,29.6723
0,0,1,78.815
0,0,2,42.542
0,0,3,24.7801
0,0,4,15.8177
0,0,5,10.8051
0,0,6,7.71735
0,0,7,5.68591
0,0,8,4.27606
0,0,9,3.26263
0,0,10,2.53204
0,0,11,1.96942
0,0,12,1.54785
0,0,13,1.23706
0,0,14,0.982605
0,0,15,0.791992
0,0,16,0.6427
0,0,17,0.519714
0,0,18,0.414124
0,0,19,0.343384
0,1,0,78.7925
0,1,1,-58.7152
0,1,2,-48.4885
0,1,3,-31.5748
0,1,4,-20.0555
0,1,5,-13.2359
0,1,6,-9.17365
0,1,7,-6.63995
0,1,8,-4.96906
0,1,9,-3.7666
0,1,10,-2.92395
0,1,11,-2.27594
0,1,12,-1.7782
0,1,13,-1.41742
0,1,14,-1.11761
0,1,15,-0.887878
0,1,16,-0.719299
0,1,17,-0.577576
0,1,18,-0.456909
0,1,19,-0.375732
0,2,0,-22.4639
0,2,1,-5.30908
0,2,2,5.60901
0,2,3,9.33252
0,2,4,7.45557
0,2,5,5.02551
0,2,6,3.3338
0,2,7,2.29254
0,2,8,1.66675
0,2,9,1.25317
0,2,10,0.962158
0,2,11,0.751831
0,2,12,0.591858
0,2,13,0.469543
0,2,14,0.372681
0,2,15,0.295715
0,2,16,0.237854
0,2,17,0.19043
0,2,18,0.151489
0,2,19,0.122803
0,3,0,2.95746
0,3,1,-4.88457
0,3,2,3.20473
0,3,3,1.10771
0,3,4,-0.434494
0,3,5,-0.698318
0,3,6,-0.55481
0,3,7,-0.389648
0,3,8,-0.280197
0,3,9,-0.215363
0,3,10,-0.176544
0,3,11,-0.148972
0,3,12,-0.129776
0,3,13,-0.11319
0,3,14,-0.100113
0,3,15,-0.0901184
0,3,16,-0.07901
0,3,17,-0.0716705
0,3,18,-0.0659027
0,3,19,-0.0590515
0,4,0,0.576508
0,4,1,3.08631
0,4,2,3.8058
0,4,3,1.81506
0,4,4,0.787964
0,4,5,0.42868
0,4,6,0.279907
0,4,7,0.190735
0,4,8,0.126343
0,4,9,0.084198
0,4,10,0.0542297
0,4,11,0.0363159
0,4,12,0.0258179
0,4,13,0.0190125
0,4,14,0.0160828
0,4,15,0.0144043
0,4,16,0.0139465
0,4,17,0.0129089
0,4,18,0.0138855
0,4,19,0.0148926
0,5,0,4.72697
0,5,1,-15.4441
0,5,2,-20.0731
0,5,3,-20.316
0,5,4,-18.0317
0,5,5,-14.9481
0,5,6,-11.9447
0,5,7,-9.33192
0,5,8,-7.17695
0,5,9,-5.453
0,5,10,-4.10296
0,5,11,-3.06217
0,5,12,-2.26952
0,5,13,-1.67176
0,5,14,-1.22507
0,5,15,-0.893137
0,5,16,-0.647819
0,5,17,-0.468028
0,5,18,-0.336668
0,5,19,-0.240891
1,0,0,-1642.23
1,0,1,1202.05
1,0,2,6.57739
1,0,3,-3.4668
1,0,4,-6.74561
1,0,5,-7.50635
1,0,6,-7.20288
1,0,7,-6.55664
1,0,8,-5.86035
1,0,9,-5.22375
1,0,10,-4.67798
1,0,11,-4.22205
1,0,12,-3.8479
1,0,13,-3.53442
1,0,14,-3.27283
1,0,15,-3.05371
1,0,16,-2.87061
1,0,17,-2.71094
1,0,18,-2.57275
1,0,19,-2.45044
1,1,0,1293.47
1,1,1,-1213.32
1,1,2,-16.0374
1,1,3,-2.81042
1,1,4,-1.31348
1,1,5,0.319458
1,1,6,1.32056
1,1,7,1.70239
1,1,8,1.70728
1,1,9,1.53284
1,1,10,1.3075
1,1,11,1.08899
1,1,12,0.911621
1,1,13,0.775879
1,1,14,0.677979
1,1,15,0.609741
1,1,16,0.571289
1,1,17,0.548096
1,1,18,0.539062
1,1,19,0.541748
1,2,0,-21.814
1,2,1,68.8433
1,2,2,18.4817
1,2,3,-0.964844
1,2,4,-1.53723
1,2,5,-1.14026
1,2,6,-1.00586
1,2,7,-0.940918
1,2,8,-0.833374
1,2,9,-0.68457
1,2,10,-0.511963
1,2,11,-0.343628
1,2,12,-0.199341
1,2,13,-0.0822754
1,2,14,0.00878906
1,2,15,0.0754395
1,2,16,0.121826
1,2,17,0.152588
1,2,18,0.170166
1,2,19,0.177734
1,3,0,59.7974
1,3,1,-44.4622
1,3,2,-28.7605
1,3,3,-15.6541
1,3,4,-9.86938
1,3,5,-7.92041
1,3,6,-7.15015
1,3,7,-6.70093
1,3,8,-6.32593
1,3,9,-5.96704
1,3,10,-5.62134
1,3,11,-5.27563
1,3,12,-4.94067
1,3,13,-4.61792
1,3,14,-4.30347
1,3,15,-4.00659
1,3,16,-3.72241
1,3,17,-3.45581
1,3,18,-3.20215
1,3,19,-2.96631
1,4,0,1.49048
1,4,1,-28.6398
1,4,2,-12.4798
1,4,3,-4.8248
1,4,4,-2.57458
1,4,5,-1.94861
1,4,6,-1.47253
1,4,7,-0.896027
1,4,8,-0.260834
1,4,9,0.355774
1,4,10,0.910004
1,4,11,1.38138
1,4,12,1.76791
1,4,13,2.07397
1,4,14,2.30908
1,4,15,2.47995
1,4,16,2.59885
1,4,17,2.67075
