pc_idx,level,iteration,residuals
0,0,0,29.6771
0,0,1,78.0826
0,0,2,43.2871
0,0,3,25.2273
0,0,4,15.8046
0,0,5,10.7356
0,0,6,7.65857
0,0,7,5.60797
0,0,8,4.21033
0,0,9,3.21729
0,0,10,2.49609
0,0,11,1.94012
0,0,12,1.52765
0,0,13,1.21637
0,0,14,0.975769
0,0,15,0.785034
0,0,16,0.637085
0,0,17,0.514648
0,0,18,0.415466
0,0,19,0.344604
0,1,0,78.0622
0,1,1,-56.838
0,1,2,-48.3386
0,1,3,-32.2007
0,1,4,-20.4949
0,1,5,-13.5381
0,1,6,-9.41656
0,1,7,-6.77875
0,1,8,-4.99933
0,1,9,-3.73541
0,1,10,-2.84625
0,1,11,-2.16766
0,1,12,-1.67639
0,1,13,-1.31702
0,1,14,-1.05658
0,1,15,-0.848083
0,1,16,-0.694641
0,1,17,-0.572876
0,1,18,-0.463562
0,1,19,-0.380859
0,2,0,-22.063
0,2,1,-4.39954
0,2,2,4.36469
0,2,3,8.77924
0,2,4,7.40845
0,2,5,5.16443
0,2,6,3.50806
0,2,7,2.48608
0,2,8,1.82727
0,2,9,1.35583
0,2,10,1.00494
0,2,11,0.745483
0,2,12,0.555908
0,2,13,0.414795
0,2,14,0.322205
0,2,15,0.249817
0,2,16,0.202942
0,2,17,0.165466
0,2,18,0.14502
0,2,19,0.113281
0,3,0,3.82214
0,3,1,-6.35526
0,3,2,3.46262
0,3,3,1.31085
0,3,4,-0.252182
0,3,5,-0.617615
0,3,6,-0.535736
0,3,7,-0.403885
0,3,8,-0.316483
0,3,9,-0.258728
0,3,10,-0.20929
0,3,11,-0.170181
0,3,12,-0.141449
0,3,13,-0.115417
0,3,14,-0.0953522
0,3,15,-0.0817108
0,3,16,-0.0705414
0,3,17,-0.0626678
0,3,18,-0.0576782
0,3,19,-0.0541382
0,4,0,0.602219
0,4,1,3.06902
0,4,2,3.82196
0,4,3,1.84509
0,4,4,0.809875
0,4,5,0.42215
0,4,6,0.266327
0,4,7,0.179016
0,4,8,0.119385
0,4,9,0.0798035
0,4,10,0.0540161
0,4,11,0.038208
0,4,12,0.0270691
0,4,13,0.0205383
0,4,14,0.0170593
0,4,15,0.0143433
0,4,16,0.0135803
0,4,17,0.0110779
0,4,18,0.0117188
0,4,19,0.0117188
0,5,0,4.7719
0,5,1,-15.4438
0,5,2,-20.0989
0,5,3,-20.3284
0,5,4,-18.0435
0,5,5,-14.9682
0,5,6,-11.9602
0,5,7,-9.33983
0,5,8,-7.17872
0,5,9,-5.45051
0,5,10,-4.09749
0,5,11,-3.05553
0,5,12,-2.26293
0,5,13,-1.66553
0,5,14,-1.21991
0,5,15,-0.889242
0,5,16,-0.644989
0,5,17,-0.466194
0,5,18,-0.335457
0,5,19,-0.240319
1,0,0,-1646.78
1,0,1,1206.22
1,0,2,7.24756
1,0,3,-3.56458
1,0,4,-6.78333
1,0,5,-7.53723
1,0,6,-7.2356
1,0,7,-6.58118
1,0,8,-5.87842
1,0,9,-5.23828
1,0,10,-4.68799
1,0,11,-4.23071
1,0,12,-3.854
1,0,13,-3.53748
1,0,14,-3.27466
1,0,15,-3.05579
1,0,16,-2.87
1,0,17,-2.71143
1,0,18,-2.57349
1,0,19,-2.45068
1,1,0,1300.12
1,1,1,-1219.32
1,1,2,-16.6765
1,1,3,-2.95679
1,1,4,-1.20447
1,1,5,0.440796
1,1,6,1.3186
1,1,7,1.64771
1,1,8,1.6615
1,1,9,1.50769
1,1,10,1.29272
1,1,11,1.08289
1,1,12,0.910522
1,1,13,0.778687
1,1,14,0.678223
1,1,15,0.615845
1,1,16,0.575439
1,1,17,0.550415
1,1,18,0.542969
1,1,19,0.546387
1,2,0,-19.5134
1,2,1,68.0363
1,2,2,17.1196
1,2,3,-0.950439
1,2,4,-1.40918
1,2,5,-1.28064
1,2,6,-1.18066
1,2,7,-1.0437
1,2,8,-0.9021
1,2,9,-0.744385
1,2,10,-0.559448
1,2,11,-0.373413
1,2,12,-0.206177
1,2,13,-0.0732422
1,2,14,0.0336914
1,2,15,0.110596
1,2,16,0.165771
1,2,17,0.19751
1,2,18,0.215088
1,2,19,0.218262
1,3,0,56.5021
1,3,1,-42.6897
1,3,2,-27.7964
1,3,3,-15.0549
1,3,4,-9.9082
1,3,5,-8.05591
1,3,6,-7.19214
1,3,7,-6.69409
1,3,8,-6.3103
1,3,9,-5.9458
1,3,10,-5.58594
1,3,11,-5.23682
1,3,12,-4.89819
1,3,13,-4.57861
1,3,14,-4.27051
1,3,15,-3.97607
1,3,16,-3.70288
1,3,17,-3.44312
1,3,18,-3.198
1,3,19,-2.96216
1,4,0,0.757812
1,4,1,-27.8775
1,4,2,-12.3109
1,4,3,-4.8757
1,4,4,-2.72266
1,4,5,-2.03284
1,4,6,-1.49768
1,4,7,-0.894379
1,4,8,-0.249603
1,4,9,0.374084
1,4,10,0.934174
1,4,11,1.40787
1,4,12,1.7923
1,4,13,2.09485
1,4,14,2.32397
1,4,15,2.49121
1,4,16,2.60483
1,4,17,2.6734
1,4,18,2.70563
1,4,19,2.70746
1,5,0,-12.667
1,5,1,-32.05
1,5,2,-25.6144
1,5,3,-20.8338
1,5,4,-17.3643
1,5,5,-14.2032
1,5,6,-11.2241
1,5,7,-8.583
1,5,8,-6.37961
1,5,9,-4.6284
1,5,10,-3.29014
1,5,11,-2.30156
1,5,12,-1.59083
1,5,13,-1.09263
1,5,14,-0.751805
1,5,15,-0.525011
1,5,16,-0.379439
1,5,17,-0.289284
1,5,18,-0.237818
1,5,19,-0.210642
