pc_idx,level,iteration,residuals
0,0,0,29.5407
0,0,1,78.7798
0,0,2,43.3718
0,0,3,24.4542
0,0,4,15.594
0,0,5,10.6923
0,0,6,7.69116
0,0,7,5.69055
0,0,8,4.30206
0,0,9,3.29291
0,0,10,2.55713
0,0,11,2.00684
0,0,12,1.5766
0,0,13,1.25128
0,0,14,0.999451
0,0,15,0.80658
0,0,16,0.648499
0,0,17,0.516235
0,0,18,0.418152
0,0,19,0.337341
0,1,0,78.6316
0,1,1,-56.7529
0,1,2,-50.6909
0,1,3,-31.9051
0,1,4,-20.0388
0,1,5,-13.0746
0,1,6,-8.99902
0,1,7,-6.48114
0,1,8,-4.84369
0,1,9,-3.69159
0,1,10,-2.86237
0,1,11,-2.25879
0,1,12,-1.79034
0,1,13,-1.42444
0,1,14,-1.13806
0,1,15,-0.9198
0,1,16,-0.744812
0,1,17,-0.605591
0,1,18,-0.47583
0,1,19,-0.391235
0,2,0,-21.4883
0,2,1,-7.17096
0,2,2,5.83264
0,2,3,9.7359
0,2,4,7.79138
0,2,5,5.17902
0,2,6,3.35272
0,2,7,2.25708
0,2,8,1.60626
0,2,9,1.19592
0,2,10,0.921204
0,2,11,0.713257
0,2,12,0.572144
0,2,13,0.459473
0,2,14,0.371338
0,2,15,0.300598
0,2,16,0.240967
0,2,17,0.205383
0,2,18,0.160034
0,2,19,0.132019
0,3,0,3.12036
0,3,1,-5.36542
0,3,2,3.54785
0,3,3,1.24068
0,3,4,-0.483185
0,3,5,-0.781677
0,3,6,-0.61026
0,3,7,-0.41597
0,3,8,-0.288193
0,3,9,-0.2146
0,3,10,-0.172607
0,3,11,-0.144623
0,3,12,-0.123581
0,3,13,-0.10939
0,3,14,-0.0971985
0,3,15,-0.0874634
0,3,16,-0.0796509
0,3,17,-0.0719604
0,3,18,-0.065155
0,3,19,-0.0611877
0,4,0,0.64769
0,4,1,2.94643
0,4,2,3.86427
0,4,3,1.80405
0,4,4,0.757843
0,4,5,0.411987
0,4,6,0.277954
0,4,7,0.196625
0,4,8,0.134796
0,4,9,0.0900269
0,4,10,0.059845
0,4,11,0.0406494
0,4,12,0.0292358
0,4,13,0.0215454
0,4,14,0.0177002
0,4,15,0.0162964
0,4,16,0.0151367
0,4,17,0.015686
0,4,18,0.0157166
0,4,19,0.01651
0,5,0,4.76372
0,5,1,-15.5196
0,5,2,-20.0412
0,5,3,-20.3273
0,5,4,-18.0524
0,5,5,-14.9571
0,5,6,-11.9422
0,5,7,-9.32469
0,5,8,-7.16891
0,5,9,-5.44627
0,5,10,-4.09758
0,5,11,-3.0577
0,5,12,-2.26601
0,5,13,-1.66922
0,5,14,-1.22262
0,5,15,-0.891433
0,5,16,-0.646705
0,5,17,-0.466963
0,5,18,-0.335992
0,5,19,-0.240329
1,0,0,-1617.03
1,0,1,1172.5
1,0,2,11.9629
1,0,3,-3.48059
1,0,4,-6.82019
1,0,5,-7.74048
1,0,6,-7.4397
1,0,7,-6.74304
1,0,8,-5.99438
1,0,9,-5.31934
1,0,10,-4.74109
1,0,11,-4.26208
1,0,12,-3.86792
1,0,13,-3.54639
1,0,14,-3.27991
1,0,15,-3.05481
1,0,16,-2.86865
1,0,17,-2.70972
1,0,18,-2.56958
1,0,19,-2.44885
1,1,0,1261.69
1,1,1,-1174.48
1,1,2,-23.1461
1,1,3,-2.98596
1,1,4,-1.84277
1,1,5,0.182983
1,1,6,1.42993
1,1,7,1.90649
1,1,8,1.91199
1,1,9,1.70581
1,1,10,1.43152
1,1,11,1.17529
1,1,12,0.962524
1,1,13,0.801392
1,1,14,0.688843
1,1,15,0.612305
1,1,16,0.566406
1,1,17,0.5448
1,1,18,0.531982
1,1,19,0.53772
1,2,0,-19.7178
1,2,1,64.8159
1,2,2,19.9154
1,2,3,-1.0575
1,2,4,-1.16516
1,2,5,-0.789551
1,2,6,-0.810181
1,2,7,-0.878174
1,2,8,-0.84314
1,2,9,-0.722778
1,2,10,-0.55188
1,2,11,-0.378418
1,2,12,-0.224121
1,2,13,-0.100098
1,2,14,-0.00500488
1,2,15,0.0627441
1,2,16,0.111084
1,2,17,0.139893
1,2,18,0.156982
1,2,19,0.16333
1,3,0,62.2214
1,3,1,-46.8276
1,3,2,-28.7659
1,3,3,-15.6492
1,3,4,-9.82446
1,3,5,-7.94214
1,3,6,-7.20068
1,3,7,-6.73926
1,3,8,-6.35425
1,3,9,-5.98682
1,3,10,-5.63647
1,3,11,-5.29126
1,3,12,-4.95605
1,3,13,-4.63403
1,3,14,-4.32324
1,3,15,-4.02197
1,3,16,-3.7395
1,3,17,-3.47021
1,3,18,-3.21484
1,3,19,-2.97388
1,4,0,1.91455
1,4,1,-29.212
1,4,2,-12.3229
1,4,3,-4.77722
1,4,4,-2.57147
1,4,5,-1.97916
1,4,6,-1.50891
1,4,7,-0.922791
1,4,8,-0.280762
1,4,9,0.342773
1,4,10,0.902069
1,4,11,1.37897
1,4,12,1.76852
1,4,13,2.07681
1,4,14,2.31403
1,4,15,2.48724
1,4,16,2.60699
1,4,17,2.68134
1,4,18,2.71747
1,4,19,2.7218
1,5,0,-12.3662
1,5,1,-32.6438
1,5,2,-25.5464
1,5,3,-20.6929
1,5,4,-17.2379
1,5,5,-14.1612
1,5,6,-11.2362
1,5,7,-8.61112
1,5,8,-6.4066
1,5,9,-4.64994
1,5,10,-3.3058
1,5,11,-2.30972
1,5,12,-1.59249
1,5,13,-1.08867
1,5,14,-0.743785
1,5,15,-0.515103
1,5,16,-0.36853
1,5,17,-0.279158
1,5,18,-0.228218
1,5,19,-0.203014
