pc_idx,level,iteration,residuals
0,0,0,28.537
0,0,1,77.7442
0,0,2,44.9293
0,0,3,25.1027
0,0,4,15.7155
0,0,5,10.6348
0,0,6,7.59271
0,0,7,5.61768
0,0,8,4.25397
0,0,9,3.26611
0,0,10,2.54089
0,0,11,1.99884
0,0,12,1.57526
0,0,13,1.25714
0,0,14,1.00116
0,0,15,0.805969
0,0,16,0.655945
0,0,17,0.522034
0,0,18,0.423706
0,0,19,0.342773
0,1,0,76.6187
0,1,1,-53.1375
0,1,2,-51.1641
0,1,3,-32.6331
0,1,4,-20.4253
0,1,5,-13.1913
0,1,6,-8.98517
0,1,7,-6.43787
0,1,8,-4.80334
0,1,9,-3.66931
0,1,10,-2.84192
0,1,11,-2.24469
0,1,12,-1.78009
0,1,13,-1.43274
0,1,14,-1.13904
0,1,15,-0.913086
0,1,16,-0.749756
0,1,17,-0.603821
0,1,18,-0.481812
0,1,19,-0.393066
0,2,0,-21.421
0,2,1,-6.79114
0,2,2,5.35187
0,2,3,9.53113
0,2,4,7.86517
0,2,5,5.27289
0,2,6,3.40594
0,2,7,2.27948
0,2,8,1.61249
0,2,9,1.19257
0,2,10,0.917053
0,2,11,0.706726
0,2,12,0.567566
0,2,13,0.456848
0,2,14,0.368591
0,2,15,0.299866
0,2,16,0.240112
0,2,17,0.200684
0,2,18,0.162109
0,2,19,0.129395
0,3,0,3.15887
0,3,1,-5.23711
0,3,2,3.20595
0,3,3,1.32622
0,3,4,-0.40126
0,3,5,-0.759476
0,3,6,-0.612793
0,3,7,-0.423035
0,3,8,-0.292999
0,3,9,-0.216385
0,3,10,-0.173248
0,3,11,-0.144852
0,3,12,-0.123947
0,3,13,-0.10788
0,3,14,-0.0970764
0,3,15,-0.0865784
0,3,16,-0.0783081
0,3,17,-0.0705414
0,3,18,-0.0654602
0,3,19,-0.0597229
0,4,0,0.684113
0,4,1,2.92953
0,4,2,3.79878
0,4,3,1.83798
0,4,4,0.77182
0,4,5,0.4104
0,4,6,0.275604
0,4,7,0.195587
0,4,8,0.133972
0,4,9,0.0905151
0,4,10,0.0592041
0,4,11,0.0400391
0,4,12,0.0284729
0,4,13,0.021637
